TIPO,WORKERS,TIEMPO_S,SPEEDUP,EFICIENCIA_PCT,RESULTADO
secuencial,1,26.878880703,1.0,100.0,CHK-12074823019828
threads,1,27.469810051,0.98,97.8,CHK-12074823019828
threads,2,28.638413155,0.94,46.9,CHK-12074823019828
threads,3,27.770320796,0.97,32.3,CHK-12074823019828
threads,4,27.901549108,0.96,24.1,CHK-12074823019828
multithreads,1,27.144491467,0.99,99.0,CHK-12074823019828
multithreads,2,27.508643946,0.98,48.9,CHK-12074823019828
multithreads,3,27.582328102,0.97,32.5,CHK-12074823019828
multithreads,4,27.966072664,0.96,24.0,CHK-12074823019828
process,1,27.880952935,0.96,96.4,CHK-12074823019828
process,2,15.680444052,1.71,85.7,CHK-12074823019828
process,3,18.269202966,1.47,49.0,CHK-12074823019828
process,4,17.629720659,1.52,38.1,CHK-12074823019828
multiprocess,1,29.648450914,0.91,90.7,CHK-12074823019828
multiprocess,2,18.552943321,1.45,72.4,CHK-12074823019828
multiprocess,3,16.433683391,1.64,54.5,CHK-12074823019828
multiprocess,4,17.033777091,1.58,39.4,CHK-12074823019828
